Date,Time,Person Count
2025-01-14,12:51:05,1
2025-01-14,12:51:11,1
2025-01-14,12:51:17,1
2025-01-14,12:51:23,1
2025-01-14,16:48:33,1
2025-01-14,16:48:41,1
2025-01-14,16:48:48,1
2025-01-14,16:48:56,1
2025-01-14,16:49:04,1
2025-01-14,16:49:13,1
2025-01-14,16:49:20,1
2025-01-14,16:49:28,1
2025-01-14,16:49:37,1
2025-01-14,18:33:34,0
2025-01-14,18:33:55,1
2025-01-14,18:34:15,1
2025-01-14,19:01:21,1
2025-01-14,19:51:21,1
2025-01-14,20:18:17,1
2025-01-14,20:18:45,1
2025-01-14,20:19:13,1
2025-01-14,20:27:36,1
2025-01-14,20:28:04,1
2025-01-14,20:28:38,1
2025-01-14,20:35:11,1
2025-01-14,20:35:52,1
2025-01-15,10:07:11,1
2025-01-15,10:14:15,1
2025-01-15,10:14:46,1
2025-01-15,10:15:21,1
2025-01-15,10:16:30,1
2025-01-15,10:17:04,1
2025-01-15,10:25:24,1
2025-01-15,10:25:54,1
2025-01-15,10:26:24,1
2025-01-15,10:26:54,1
2025-01-15,10:27:24,1
2025-01-15,10:28:10,1
2025-01-15,10:28:41,1
2025-01-15,11:21:08,1
2025-01-15,11:21:39,1
2025-01-15,17:12:16,1
2025-01-15,17:53:09,1
2025-01-15,17:53:44,1
2025-01-15,18:18:05,1
2025-01-15,18:18:43,1
2025-01-15,19:07:03,1
2025-01-15,19:07:35,1
2025-01-15,19:08:07,1
2025-01-15,19:09:30,1
2025-01-15,19:10:02,1
2025-01-15,19:11:14,1
2025-01-15,19:11:49,1
2025-01-15,19:17:20,1
2025-01-15,19:18:13,1
2025-01-15,19:19:44,1
2025-01-15,19:20:32,1
2025-01-15,19:22:08,1
2025-01-15,19:22:39,1
2025-01-15,19:23:12,1
2025-01-15,19:23:57,1
